ymd,date,dow_int,dow_str,day,doy,dos,is_weekday,is_weekend,is_holiday,is_busy,post_thx,woy,woy_dow,season_week,season_week_dow,month_int,month_str,year,season,season_num,quarter,month_year,month_day,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,December,February,January,March,November,2017-2018,2018-2019,2019-2020,2020-2021,views,log_views,ga_shift1,ga_shift2,ga_shift3,eod_snow_depth,avg_temp,snow,total_snowfall,total_snowfall_days,biggest_snowfall,max_base_depth,average_base_depth,max_summit_depth,average_summit_depth,tot_tix,day_tix,night_tix,tot_sp_est,day_sp_est,night_sp_est,tot_alpine,tot_day,tot_night
2017-11-15,2017-11-15,2,Wednesday,15,319,15,True,False,False,False,False,46,46Wednesday,2,2Wednesday,11,November,2017,2017-2018,75.0,4,2017-11,11-15,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,13,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-16,2017-11-16,3,Thursday,16,320,16,True,False,False,False,False,46,46Thursday,2,2Thursday,11,November,2017,2017-2018,75.0,4,2017-11,11-16,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,10,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-17,2017-11-17,4,Friday,17,321,17,True,False,False,False,False,46,46Friday,2,2Friday,11,November,2017,2017-2018,75.0,4,2017-11,11-17,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0,13,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-18,2017-11-18,5,Saturday,18,322,18,False,True,False,False,False,46,46Saturday,2,2Saturday,11,November,2017,2017-2018,75.0,4,2017-11,11-18,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0,12,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-19,2017-11-19,6,Sunday,19,323,19,False,True,False,False,False,46,46Sunday,2,2Sunday,11,November,2017,2017-2018,75.0,4,2017-11,11-19,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,33.0,12,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-20,2017-11-20,0,Monday,20,324,20,True,False,False,False,False,47,47Monday,3,3Monday,11,November,2017,2017-2018,75.0,4,2017-11,11-20,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,38.0,10,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-21,2017-11-21,1,Tuesday,21,325,21,True,False,False,False,False,47,47Tuesday,3,3Tuesday,11,November,2017,2017-2018,75.0,4,2017-11,11-21,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,43.0,7,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-22,2017-11-22,2,Wednesday,22,326,22,True,False,False,False,False,47,47Wednesday,3,3Wednesday,11,November,2017,2017-2018,75.0,4,2017-11,11-22,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,47.0,6,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-23,2017-11-23,3,Thursday,23,327,23,True,False,True,False,False,47,47Thursday,3,3Thursday,11,November,2017,2017-2018,75.0,4,2017-11,11-23,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,49.0,4,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-24,2017-11-24,4,Friday,24,328,24,True,False,False,True,True,47,47Friday,3,3Friday,11,November,2017,2017-2018,75.0,4,2017-11,11-24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,4,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-25,2017-11-25,5,Saturday,25,329,25,False,True,False,True,True,47,47Saturday,3,3Saturday,11,November,2017,2017-2018,75.0,4,2017-11,11-25,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,41.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-26,2017-11-26,6,Sunday,26,330,26,False,True,False,True,True,47,47Sunday,3,3Sunday,11,November,2017,2017-2018,75.0,4,2017-11,11-26,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,50.0,2,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,2017-11-27,0,Monday,27,331,27,True,False,False,False,False,48,48Monday,4,4Monday,11,November,2017,2017-2018,75.0,4,2017-11,11-27,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,32.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-28,2017-11-28,1,Tuesday,28,332,28,True,False,False,False,False,48,48Tuesday,4,4Tuesday,11,November,2017,2017-2018,75.0,4,2017-11,11-28,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,30.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29,2017-11-29,2,Wednesday,29,333,29,True,False,False,False,False,48,48Wednesday,4,4Wednesday,11,November,2017,2017-2018,75.0,4,2017-11,11-29,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,25.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,2017-11-30,3,Thursday,30,334,30,True,False,False,False,False,48,48Thursday,4,4Thursday,11,November,2017,2017-2018,75.0,4,2017-11,11-30,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,29.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12-01,4,Friday,1,335,31,True,False,False,False,False,48,48Friday,4,4Friday,12,December,2017,2017-2018,75.0,4,2017-12,12-01,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02,2017-12-02,5,Saturday,2,336,32,False,True,False,False,False,48,48Saturday,4,4Saturday,12,December,2017,2017-2018,75.0,4,2017-12,12-02,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,3,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-03,2017-12-03,6,Sunday,3,337,33,False,True,False,False,False,48,48Sunday,4,4Sunday,12,December,2017,2017-2018,75.0,4,2017-12,12-03,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0,14,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-04,2017-12-04,0,Monday,4,338,34,True,False,False,False,False,49,49Monday,5,5Monday,12,December,2017,2017-2018,75.0,4,2017-12,12-04,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21.0,13,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-05,2017-12-05,1,Tuesday,5,339,35,True,False,False,False,False,49,49Tuesday,5,5Tuesday,12,December,2017,2017-2018,75.0,4,2017-12,12-05,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,25.0,12,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-06,2017-12-06,2,Wednesday,6,340,36,True,False,False,False,False,49,49Wednesday,5,5Wednesday,12,December,2017,2017-2018,75.0,4,2017-12,12-06,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,25.0,12,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-07,2017-12-07,3,Thursday,7,341,37,True,False,False,False,False,49,49Thursday,5,5Thursday,12,December,2017,2017-2018,75.0,4,2017-12,12-07,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,38.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-08,2017-12-08,4,Friday,8,342,38,True,False,False,False,False,49,49Friday,5,5Friday,12,December,2017,2017-2018,75.0,4,2017-12,12-08,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,37.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-09,2017-12-09,5,Saturday,9,343,39,False,True,False,False,False,49,49Saturday,5,5Saturday,12,December,2017,2017-2018,75.0,4,2017-12,12-09,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,34.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-10,2017-12-10,6,Sunday,10,344,40,False,True,False,False,False,49,49Sunday,5,5Sunday,12,December,2017,2017-2018,75.0,4,2017-12,12-10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11,2017-12-11,0,Monday,11,345,41,True,False,False,False,False,50,50Monday,6,6Monday,12,December,2017,2017-2018,75.0,4,2017-12,12-11,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,35.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12,2017-12-12,1,Tuesday,12,346,42,True,False,False,False,False,50,50Tuesday,6,6Tuesday,12,December,2017,2017-2018,75.0,4,2017-12,12-12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,34.0,10,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-13,2017-12-13,2,Wednesday,13,347,43,True,False,False,False,False,50,50Wednesday,6,6Wednesday,12,December,2017,2017-2018,75.0,4,2017-12,12-13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,36.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-14,2017-12-14,3,Thursday,14,348,44,True,False,False,False,False,50,50Thursday,6,6Thursday,12,December,2017,2017-2018,75.0,4,2017-12,12-14,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,30.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-15,2017-12-15,4,Friday,15,349,45,True,False,False,False,False,50,50Friday,6,6Friday,12,December,2017,2017-2018,75.0,4,2017-12,12-15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-16,2017-12-16,5,Saturday,16,350,46,False,True,False,False,False,50,50Saturday,6,6Saturday,12,December,2017,2017-2018,75.0,4,2017-12,12-16,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-17,2017-12-17,6,Sunday,17,351,47,False,True,False,False,False,50,50Sunday,6,6Sunday,12,December,2017,2017-2018,75.0,4,2017-12,12-17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,24.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-18,2017-12-18,0,Monday,18,352,48,True,False,False,False,False,51,51Monday,7,7Monday,12,December,2017,2017-2018,75.0,4,2017-12,12-18,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19,2017-12-19,1,Tuesday,19,353,49,True,False,False,False,False,51,51Tuesday,7,7Tuesday,12,December,2017,2017-2018,75.0,4,2017-12,12-19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,37.0,11,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-20,2017-12-20,2,Wednesday,20,354,50,True,False,False,False,False,51,51Wednesday,7,7Wednesday,12,December,2017,2017-2018,75.0,4,2017-12,12-20,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.0,16,0,132,34,11,60,39,66,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-21,2017-12-21,3,Thursday,21,355,51,True,False,False,False,False,51,51Thursday,7,7Thursday,12,December,2017,2017-2018,75.0,4,2017-12,12-21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21.0,15,0,132,34,11,60,39,66,41,392.0,392.0,0.0,40.0,32.0,8.0,432.0,424.0,8.0
2017-12-22,2017-12-22,4,Friday,22,356,52,True,False,False,False,False,51,51Friday,7,7Friday,12,December,2017,2017-2018,75.0,4,2017-12,12-22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,24.0,19,0,132,34,11,60,39,66,41,47.0,47.0,0.0,1.0,0.0,1.0,48.0,47.0,1.0
2017-12-23,2017-12-23,5,Saturday,23,357,53,False,True,False,False,False,51,51Saturday,7,7Saturday,12,December,2017,2017-2018,75.0,4,2017-12,12-23,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,18.0,23,0,132,34,11,60,39,66,41,115.0,115.0,0.0,151.0,122.0,29.0,266.0,237.0,29.0
2017-12-24,2017-12-24,6,Sunday,24,358,54,False,True,False,False,False,51,51Sunday,7,7Sunday,12,December,2017,2017-2018,75.0,4,2017-12,12-24,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,19.0,23,0,132,34,11,60,39,66,41,132.0,132.0,0.0,151.0,122.0,29.0,283.0,254.0,29.0
2017-12-25,2017-12-25,0,Monday,25,359,55,True,False,True,False,False,52,52Monday,8,8Monday,12,December,2017,2017-2018,75.0,4,2017-12,12-25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0,22,0,132,34,11,60,39,66,41,146.0,146.0,0.0,135.0,109.0,26.0,281.0,255.0,26.0
2017-12-26,2017-12-26,1,Tuesday,26,360,56,True,False,False,True,False,52,52Tuesday,8,8Tuesday,12,December,2017,2017-2018,75.0,4,2017-12,12-26,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21.0,22,0,132,34,11,60,39,66,41,755.0,755.0,0.0,2153.0,1743.0,410.0,2908.0,2498.0,410.0
2017-12-27,2017-12-27,2,Wednesday,27,361,57,True,False,False,True,False,52,52Wednesday,8,8Wednesday,12,December,2017,2017-2018,75.0,4,2017-12,12-27,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,30.0,22,0,132,34,11,60,39,66,41,967.0,967.0,0.0,1663.0,1347.0,316.0,2630.0,2314.0,316.0
2017-12-28,2017-12-28,3,Thursday,28,362,58,True,False,False,True,False,52,52Thursday,8,8Thursday,12,December,2017,2017-2018,75.0,4,2017-12,12-28,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,34.0,21,0,132,34,11,60,39,66,41,1120.0,1120.0,0.0,1658.0,1342.0,316.0,2778.0,2462.0,316.0
